callsign,mmsi,position,heading,sog,cog,rot,length,width,draught,eta,theme,shiptype,imo,timestamp,destination,id,radarid,referenceid,name,navstatus,bow,stern,port,starboard
null,211166000,"(53.6799083333333,7.48540333333333)",511,0,90,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841119,,,,,,,,
null,211530074,"(53.5207133333333,8.54619833333333)",511,0,90,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841120,,,,,,,,
null,219130464,"(53.6625083333333,8.38742833333333)",318,19.7000007629395,318.3,540,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841121,,,,,,,,
null,219130464,"(53.6625083333333,8.38742833333333)",318,19.7000007629395,318.3,540,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841122,,,,,,,,
null,211507500,"(53.6248966666667,7.16019833333333)",349,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841123,,,,,,,,
null,211934463,"(53.58583,8.52172)",326,10.6999998092651,326.6,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841124,,,,,,,,
null,211934463,"(53.58583,8.52172)",326,10.6999998092651,326.6,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841125,,,,,,,,
null,211222800,"(53.545515,8.56893166666667)",511,0.100000001490116,262.1,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841126,,,,,,,,
null,211072764,"(53.5528016666667,8.561235)",148,0.100000001490116,257.5,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841127,,,,,,,,
null,211072764,"(53.5528016666667,8.561235)",148,0.100000001490116,257.5,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841128,,,,,,,,
null,211398884,"(54.00173,8.18401)",83,0.600000023841858,34.8,7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:50+01,"",132841129,,,,,,,,
